Team,Period,Time,Game_ID
Michigan State,1st Period,18.416666666666668,2023-10-07-Lake Superior-Michigan State
Michigan State,2nd Period,21.733333333333334,2023-10-07-Lake Superior-Michigan State
Michigan State,2nd Period,27.1,2023-10-07-Lake Superior-Michigan State
Lake Superior,2nd Period,30.383333333333333,2023-10-07-Lake Superior-Michigan State
Lake Superior,2nd Period,35.833333333333336,2023-10-07-Lake Superior-Michigan State
Michigan State,3rd Period,50.8,2023-10-07-Lake Superior-Michigan State
Michigan State,3rd Period,55.766666666666666,2023-10-07-Lake Superior-Michigan State
Clarkson,1st Period,15.783333333333333,2023-10-07-Clarkson-Notre Dame
Notre Dame,2nd Period,24.9,2023-10-07-Clarkson-Notre Dame
Clarkson,3rd Period,44.75,2023-10-07-Clarkson-Notre Dame
Clarkson,3rd Period,58.46666666666667,2023-10-07-Clarkson-Notre Dame
St. Lawrence,1st Period,1.9,2023-10-07-RIT-St. Lawrence
RIT,2nd Period,38.61666666666667,2023-10-07-RIT-St. Lawrence
St. Lawrence,3rd Period,42.38333333333333,2023-10-07-RIT-St. Lawrence
St. Lawrence,3rd Period,48.583333333333336,2023-10-07-RIT-St. Lawrence
RIT,3rd Period,49.05,2023-10-07-RIT-St. Lawrence
St. Lawrence,3rd Period,50.8,2023-10-07-RIT-St. Lawrence
RIT,3rd Period,53.2,2023-10-07-RIT-St. Lawrence
St. Cloud State,1st Period,2.6833333333333336,2023-10-07-St. Thomas-St. Cloud State
St. Thomas,1st Period,4.416666666666667,2023-10-07-St. Thomas-St. Cloud State
St. Cloud State,1st Period,13.85,2023-10-07-St. Thomas-St. Cloud State
St. Thomas,2nd Period,29.416666666666668,2023-10-07-St. Thomas-St. Cloud State
St. Cloud State,2nd Period,31.95,2023-10-07-St. Thomas-St. Cloud State
St. Thomas,2nd Period,39.63333333333333,2023-10-07-St. Thomas-St. Cloud State
St. Thomas,3rd Period,45.13333333333333,2023-10-07-St. Thomas-St. Cloud State
