Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Notre Dame,Nathan Borega,0,Defensemen,Fr,6-2,227,3/3/1977,"Wasilla, Alaska",74,,,,Vernon,BCJHL,1996
Notre Dame,Gabe Cahill,0,Defensemen,,5-10,174,9/12/1977,"Haslett, Mich.",70,,,,,,1996
Notre Dame,Benǫt Cotnoir,0,Defensemen,So,6-1,201,7/10/1975,"Rouyn-Noranda, Que.",73,,,,,,1996
Notre Dame,Tyson Fraser,0,Defensemen,Fr,5-11,181,1/25/1978,"Surrey, B.C.",71,,,,Royal City Outlaws,,1996
Notre Dame,Scott Guiliani,0,Defensemen,So,6-1,190,6/1/1976,"Burlington, Ont.",73,,,,,,1996
Notre Dame,Andrew Jurkowski,0,Defensemen,,6-2,194,9/13/1975,"Madison, Wis.",74,,,,,,1996
Notre Dame,Sean Molina,0,Defensemen,Fr,6-0,198,5/22/1977,"Skokie, Ill.",72,,,,Dubuque,USHL,1996
Notre Dame,Ben Nelsen,0,Defensemen,Sr,5-10,185,11/7/1974,"Plymouth, Minn.",70,,,,,,1996
Notre Dame,Sean Seyferth,0,Defensemen,Fr,6-1,190,4/30/1976,"Ann Arbor, Mich.",73,,,,Detroit Compuware,,1996
Notre Dame,Justin Theel,0,Defensemen,,6-2,201,11/6/1973,"Bismarck, N.D.",74,,,,,,1996
Notre Dame,Lyle Andrusiak,0,Forwards,Jr,6-0,190,6/21/1975,"Foam Lake, Sask.",72,,,,,,1996
Notre Dame,Troy Bagne,0,Forwards,Fr,6-0,181,4/21/1978,"Moorhead, Minn.",72,,,,Moorhead HS,,1996
Notre Dame,Aniket Dhadphale,0,Forwards,So,6-3,190,4/2/1976,"Marquette, Mich.",75,,,,,,1996
Notre Dame,Joe Dusbabek,0,Forwards,Fr,6-1,205,5/1/1978,"Faribault, Minn.",73,,,,Minnetonka HS,,1996
Notre Dame,John Dwyer,0,Forwards,,6-3,216,10/10/1975,"Winnetka, Ill.",75,,,,,,1996
Notre Dame,Ryan Engle,0,Forwards,,6-2,205,7/27/1976,"Duluth, Minn.",74,,,,,,1996
Notre Dame,Craig Hagkull,0,Forwards,So,6-4,216,10/23/1974,"Arden Hills, Minn.",76,,,,,,1996
Notre Dame,Tim Harberts,0,Forwards,Sr,6-1,183,5/20/1975,"Wayzata, Minn.",73,,,,,,1996
Notre Dame,Neal Johnson,0,Forwards,,5-11,190,8/17/1976,"Edina, Minn.",71,,,,,,1996
